Lambda,Time_Limit,Duration_Cap,N_Capped,Pct_Capped,Max_Uncapped_Duration,Max_Planning_Duration,Objective,Overtime,Idle,Makespan,Sched_Util,Cap_Util,Buffer_Ratio,Cap_Expansion,OnTime_Rate,Load_Gap,Solve_Time,Variables,Constraints,Nodes,Gap,Status,Reached_1pct_Gap,Hit_Time_Limit,Model,Solver_Failed,Failure_Type,Failure_Message,Run_Wall_Time
0.0,300,360.0,0,0.0,227.90118016149057,227.90118016149057,1280.2211414717526,891.5709721690033,0.0,777.2645239338589,0.9227988935549604,1.4941466065016802,1.0,1.6191465084506966,0.0,0.1790733582017765,300.8839452266693,269,864,3726489.0,0.5970384505538621,9,False,True,LightGBM,False,,,302.38745641708374
0.1,300,360.0,0,0.0,237.3887502699897,237.3887502699897,1527.1489233046634,1102.5242030780882,0.0,848.8257752646703,0.8462342701625557,1.4941466065016802,1.0980461522039273,1.7656418076931168,0.0,2.1183259423989966,300.0149619579315,269,864,3372181.0,0.5815550730235677,9,False,True,LightGBM,False,,,301.38875818252563
0.2,300,360.0,0,0.0,249.82929286964423,249.82929286964423,1772.9971007591657,1313.4648036850065,0.0,918.7308754866478,0.7814049812741157,1.4941466065016802,1.1960923044078542,1.9121283358923657,0.0,1.668593308352456,300.01749324798584,269,864,3045043.0,0.5675847194299561,9,False,True,LightGBM,False,,,301.2533938884735
0.3,300,360.0,0,0.0,270.8693441082498,270.8693441082498,2019.7716790898307,1524.430722992001,0.0,990.0654024698814,0.7257957140556275,1.4941466065016802,1.2941384566117815,2.058632446522223,0.0,3.0825486288894126,300.0072238445282,269,864,3043441.0,0.5709167374754024,9,False,True,LightGBM,False,,,301.29875111579895
0.4,300,360.0,0,0.0,295.3169827273621,295.3169827273621,2264.8068143468217,1735.3841864503506,0.0,1058.709343265139,0.6775782037787322,1.4941466065016802,1.3921846088157086,2.205127907257188,0.0,0.6795626390185134,300.033460855484,269,864,2814236.0,0.4797020573705265,9,False,True,LightGBM,False,,,301.3684401512146
0.5,300,360.0,0,0.0,319.7646213464744,319.7646213464744,2511.6840038878313,1946.3368867839763,0.0,1130.07283851686,0.6353683007025858,1.4941466065016802,1.490230761019636,2.351622838044428,0.0,3.1069784542492016,300.01882457733154,269,864,3278371.0,0.47852690600254844,9,False,True,LightGBM,False,,,301.3650612831116
0.6,300,360.0,0,0.0,344.21225996558667,344.21225996558667,2757.1277547971813,2157.252821259347,0.0,1199.5962686166183,0.5981150673221755,1.4941466065016802,1.5882769132235626,2.4980922369856575,0.0,0.7679922952540892,300.8443400859833,269,864,3159257.0,0.48275370765044734,9,False,True,LightGBM,False,,,302.19611287117004
0.7,300,360.0,1,8.333333333333334,368.659898584699,360.0,2993.103214922345,2359.5490174671213,0.0,1266.9717666593538,0.5662701292893737,1.4941466065016802,1.6822981468315317,2.63857570657439,0.0,0.6831412554729468,300.0044729709625,269,864,2669850.0,0.4998122411522632,9,False,True,LightGBM,False,,,301.1102499961853
0.8,300,360.0,1,8.333333333333334,393.1075372038113,360.0,3211.1986563863297,2546.0412362353345,0.0,1329.7019297181605,0.5397764312630386,1.4941466065016802,1.7689816076202047,2.7680841918300936,0.0,3.0645529191469905,300.01038455963135,269,864,2889431.0,0.45451764846966136,9,False,True,LightGBM,False,,,301.3039343357086
0.9,300,360.0,2,16.666666666666668,417.5551758229236,360.0,3414.3928545895833,2720.3097551733454,0.0,1387.6516806034176,0.5171660861759009,1.4941466065016802,1.8499551763998143,2.8891039966481564,0.0,2.5725911452898345,300.0086236000061,269,864,2901270.0,0.45807038625530894,9,False,True,LightGBM,False,,,301.19653391838074
1.0,300,360.0,4,33.333333333333336,442.0028144420359,360.0,3589.64234939007,2869.495082909976,0.0,1438.8709684638643,0.49926292337467437,1.4941466065016802,1.919305799628404,2.9927049186874837,0.0,7.117822481620578,300.0146152973175,269,864,3648012.0,0.45410169049312665,9,False,True,LightGBM,False,,,301.35927534103394
0.0,300,360.0,0,0.0,170.56413661767414,170.56413661767414,1134.91864427449,767.0657785793912,0.0,735.6993044412969,0.9184514181049436,1.4076963154077313,1.0,1.5326845684579105,0.0,0.0321347445030824,301.0601453781128,269,864,3379127.0,0.6248754747146137,9,False,True,RF,False,,,302.3583867549896
